institution;location;address;country_code;latitude;longitude;website;dome_diameter;dome_tilt;mobility;seats;seat_arrangement;opening_year;visitors_per_year;optomechanical_projector;optomechanical_projector_manufacturer;fulldome_software;fulldome_software_manufacturer
Planetarium;Wangen;An der Steinklöbe 16, 06642 Wangen;DE;51.27146745;11.531431693932081;www.himmelsscheibe-erleben.de;7;0.0;stationary;42;concentric;2007;unknown;;;Sky-Skan definiti twin;Sky-Skan
Planetarium;Bad Salzungen;Karl-Liebknecht-Straße 23, 36433 Bad Salzungen;DE;50.8141423;10.1563091;www.vhs-wartburgkreis.de;8;0.0;stationary;60;concentric;1984;unknown;Zeiss ZKP 1;Zeiss;;
Planetarium;Gera;Leipziger Straße 24, 07545 Gera;DE;50.8802503;12.0843718;www.astronomisches-zentrum-gera.de;4;0.0;stationary;25;variable;2017;unknown;;;VIOSO-FullDome-2K;Vioso
Planetarium;Jena;Am Planetarium 5, 07743 Jena;DE;50.931846750000005;11.586951619675926;www.planetarium-jena.de;23;0.0;stationary;261;concentric;1926;unknown;Zeiss Universarium IX;Zeiss;Zeiss Velvet;Zeiss
Planetarium;Nordhausen;Wiedigsburg 7/8, 99734 Nordhausen;DE;51.5059682;10.786819284263007;www.herder-gymnasium.de;5.4;0.0;stationary;30;concentric;1998;unknown;Selbstbau;self-made;;
Planetarium;Bremen;Werderstraße 73, 28199 Bremen;DE;53.0699749;8.807527107220011;www.planetarium.hs-bremen.de;6;0.0;stationary;35;concentric;1952;unknown;Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Bremerhaven;Bussestraße 24, 27570 Bremerhaven;DE;53.5360425;8.581466365128815;www.bremerhavener-sternfreunde.de;6;0.0;stationary;30;concentric;1961;unknown;Zeiss ZKP 1;Zeiss;;
Planetarium;Bremerhaven;Hoebelstraße 24, 27572 Bremerhaven;DE;53.522233;8.580719114492078;www.phaenomenta-bremerhaven.de;5;0.0;mobile;20;concentric;2011;unknown;RSA Cosmos Cosmodyssée IV;RSA Cosmos;;
Planetarium;Hamburg;Linnering 1, 22299 Hamburg;DE;53.59731295;10.008911273704664;www.planetarium-hamburg.de;20.6;0.0;stationary;257;concentric;1930;unknown;Zeiss Universarium IX;Zeiss;E&S Digistar / SCISS Uniview;Evans & Sutherland
Planetarium;Lübz;Neuer Teich 6, 19386 Lübz;DE;53.4589912;12.04774132721215;www.luebzerland.de;8;0.0;stationary;50;concentric;1980;unknown;Zeiss ZKP 1;Zeiss;;
Planetarium;Rostock;Nelkenweg 6, 18057 Rostock;DE;54.0858082;12.078009228065394;www.sternwarte-rostock.de;6;0.0;stationary;30;concentric;1965;unknown;Zeiss ZKP 1;Zeiss;;
Planetarium;Schwerin;Weinbergstraße 17, 19061 Schwerin;DE;53.6168427;11.424022;www.vhs-schwerin.de;8;0.0;stationary;54;concentric;1962;unknown;Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Stralsund;Zur Schwedenschanze 15, 18435 Stralsund;DE;54.3393367;13.072983259988543;www.hochschule-stralsund.de;6;0.0;stationary;30;concentric;1954;unknown;Zeiss ZKP 1;Zeiss;;
Planetarium;Braunschweig;Löwenwall 18a, 38100 Braunschweig;DE;52.2599325;10.5303567;www.planetarium.gaussschule-bs.de;3;0.0;stationary;12;concentric;2005;unknown;Goto NEX;GOTO;;
Planetarium;Elsfleth;Weserstraße 52, 26931 Elsfleth;DE;53.2421492;8.466829434160843;;9.3;0.0;stationary;25;concentric;1982;unknown;Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Grünendeich;Kirchenstieg 30, 21720 Grünendeich;DE;53.5756588;9.6127892;www.maritime-elbe.de;6.3;0.0;stationary;30;concentric;1958;unknown;Zeiss Skymaster ZKP 2;Zeiss;;
Planetarium;Hannover;An der Bismarckschule 5, 30173 Hannover;DE;52.355151500000005;9.747087199551125;www.planetarium-hannover.de;6;0.0;stationary;38;concentric;1963;unknown;Zeiss ZKP 1;Zeiss;;
Planetarium;Neuenhaus;Jahnstraße 3, 49828 Neuenhaus;DE;52.4999992;6.9690529;www.avgb.de;5;0.0;stationary;35;concentric;2016;unknown;;;Eigenbau;self-made
Planetarium;Nordenham;Bahnhofstraße 52, 26954 Nordenham;DE;53.4864452;8.478809646981375;www.sternfreunde-nordenham.de;6;0.0;stationary;35;concentric;1980;unknown;Zeiss ZKP 0;Zeiss;;
Planetarium;Osnabrück;Klaus-Strick-Weg 10, 49082 Osnabrück;DE;52.2493226;8.069692668465787;www.museum-am-schoelerberg.de;8;0.0;stationary;64;concentric;1986;unknown;Zeiss Skymaster ZKP 4;Zeiss;Sky-Skan definiti LED 5;Sky-Skan
